from_stop_id,to_stop_id,transfer_type,min_transfer_time
1,2,0,40
2,3,0,35
3,4,0,80
4,5,0,45
5,6,0,35
6,7,0,50
7,8,0,30
8,9,0,45
9,10,0,40
10,11,0,55
11,12,0,35
12,13,0,20
13,14,0,60
14,15,0,40
15,16,0,50
16,17,0,30
17,18,0,35
18,19,0,25
19,20,0,40
20,21,0,45
21,22,0,30
22,23,0,55
23,24,0,35
24,25,0,40
25,26,0,50
26,27,0,30
27,28,0,45
28,29,0,25
29,30,0,35
30,31,0,40
31,32,0,30
32,33,0,50
33,34,0,40
34,35,0,45
35,36,0,30
36,37,0,35
37,38,0,25
38,39,0,40
39,40,0,50
40,41,0,35
41,42,0,45
42,43,0,30
43,44,0,35
44,45,0,25
45,46,0,40
46,47,0,50
47,48,0,35
48,49,0,45
49,50,0,30

1,3,0,70
2,4,0,90
3,5,0,75
4,6,0,80
5,7,0,95
6,8,0,85
7,9,0,100
8,10,0,110
9,11,0,105
10,12,0,90
11,13,0,70
12,14,0,95
13,15,0,85
14,16,0,75
15,17,0,60
16,18,0,50
17,19,0,55
18,20,0,65
19,21,0,70
20,22,0,60
21,23,0,80
22,24,0,85
23,25,0,90
24,26,0,100
25,27,0,110
26,28,0,95
27,29,0,85
28,30,0,75
29,31,0,60
30,32,0,55
31,33,0,70
32,34,0,80
33,35,0,90
34,36,0,85
35,37,0,75
36,38,0,70
37,39,0,65
38,40,0,75
39,41,0,80
40,42,0,90
41,43,0,85
42,44,0,70
43,45,0,60
44,46,0,50
45,47,0,55
46,48,0,65
47,49,0,70
48,50,0,80
