sourceStopId,destinationStopId,fareAmount

1,2,100
2,3,164
3,4,655
4,5,345
5,6,191
6,7,545
7,8,45
8,9,481
9,10,435
10,11,417
11,12,417
12,13,0
13,14,626
14,15,209
15,16,545
16,17,626
17,18,545
18,19,618
19,20,718
20,21,626
21,22,626
22,23,362
23,24,425
24,25,769
25,26,452
26,27,497
27,28,545
28,29,700
29,30,646
30,31,563
31,32,452
32,33,362
33,34,443
34,35,678
35,36,371
36,37,417
37,38,452
38,39,545
39,40,481
40,41,517
41,42,417
42,43,571
43,44,497
44,45,469
45,46,460
46,47,435
47,48,626
48,49,678
49,50,435
1,3,200
2,4,811
3,5,465
4,6,655
5,7,636
6,8,818
7,9,700
8,10,710
9,11,583
10,12,738
11,13,547
12,14,528
13,15,626
14,16,717
15,17,736
16,18,683
17,19,618
18,20,646
19,21,747
20,22,674
21,23,692
22,24,528
23,25,783
24,26,710
25,27,683
26,28,774
27,29,700
28,30,710
29,31,547
30,32,602
31,33,502
32,34,528
33,35,610
34,36,517
35,37,571
36,38,552
37,39,502
38,40,567
39,41,538
40,42,517
41,43,653
42,44,543
43,45,633
44,46,678
45,47,615
46,48,724
47,49,690
48,50,736
